date,country,country_code,project,access,article,qid,views
2017-02-11,Australia,AU,en.wikipedia,3524766,YouTube,Q866,673
2017-02-11,United States of America,US,en.wikipedia,9988187,Twitter,Q918,3178
2017-02-11,Japan,JP,ja.wikipedia,1036212,Twitter,Q918,5704
2017-02-11,Germany,DE,de.wikipedia,6787305,WhatsApp,Q1049511,1241
2017-02-11,Brazil,BR,pt.wikipedia,1051474,Facebook,Q355,1763
2017-02-11,France,FR,fr.wikipedia,6575221,WhatsApp,Q1049511,475
2017-02-11,Spain,ES,es.wikipedia,1019739,Facebook,Q355,973
2017-02-11,Canada,CA,en.wikipedia,7529378,Facebook,Q355,697
2017-02-11,Mexico,MX,es.wikipedia,1019739,Facebook,Q355,1696
2017-02-12,Algeria,DZ,ar.wikipedia,232568,ÙÙØ³_Ø¨ÙÙ,Q355,588
2017-02-12,France,FR,fr.wikipedia,1695137,Twitter,Q918,542
2017-02-12,Germany,DE,de.wikipedia,1397776,YouTube,Q866,2418
2017-02-12,Hungary,HU,hu.wikipedia,343909,Facebook,Q355,1322
2017-02-12,United States of America,US,en.wikipedia,67892,Enrico_Caruso,Q170726,532
2017-02-12,Germany,DE,en.wikipedia,3524766,YouTube,Q866,559
2017-02-12,United States of America,US,es.wikipedia,1019739,Facebook,Q355,525
2017-02-12,Germany,DE,en.wikipedia,7529378,Facebook,Q355,1454
2017-02-12,South Korea,KR,ko.wikipedia,822425,ì¸ì¤íê·¸ë¨,Q209330,759
2017-02-12,Germany,DE,de.wikipedia,6501279,Instagram,Q209330,2034
2017-02-12,Germany,DE,de.wikipedia,1783100,Facebook,Q355,1653
2017-02-12,Italy,IT,it.wikipedia,2658829,Facebook,Q355,2253
2017-02-12,Nigeria,NG,en.wikipedia,7529378,Facebook,Q355,524
2017-02-12,India,IN,en.wikipedia,9988187,Twitter,Q918,797
2017-02-12,Indonesia,ID,en.wikipedia,3524766,YouTube,Q866,642
2017-02-12,Brazil,BR,pt.wikipedia,330581,YouTube,Q866,1400
2017-02-12,Argentina,AR,en.wikipedia,7529378,Facebook,Q355,769
2017-02-12,United States of America,US,en.wikipedia,7529378,Facebook,Q355,10711
2017-02-12,India,IN,en.wikipedia,7529378,Facebook,Q355,4310
2017-02-12,United Kingdom,GB,en.wikipedia,32058867,WhatsApp,Q1049511,539
2017-02-12,Taiwan,TW,zh.wikipedia,293080,U2B,Q866,1099
2017-02-12,Netherlands,NL,nl.wikipedia,490956,YouTube,Q866,491
2017-02-12,Mexico,MX,en.wikipedia,7529378,Facebook,Q355,1082
2017-02-12,India,IN,en.wikipedia,31591547,Instagram,Q209330,1238
2017-02-12,Morocco,MA,fr.wikipedia,3252248,Facebook,Q355,931
2017-02-12,Philippines,PH,en.wikipedia,7529378,Facebook,Q355,644
2017-02-12,Italy,IT,en.wikipedia,7529378,Facebook,Q355,754
2017-02-12,Taiwan,TW,zh.wikipedia,572923,Facebook,Q355,609
2017-02-12,Brazil,BR,pt.wikipedia,3876652,WhatsApp,Q1049511,998
2017-02-12,Poland,PL,pl.wikipedia,2910444,Instagram,Q209330,574
2017-02-12,Poland,PL,en.wikipedia,7529378,Facebook,Q355,504
2017-02-12,Spain,ES,en.wikipedia,7529378,Facebook,Q355,529
2017-02-12,Italy,IT,it.wikipedia,3700969,Instagram,Q209330,1012
2017-02-12,Algeria,DZ,fr.wikipedia,3252248,Facebook,Q355,1166
2017-02-12,South Korea,KR,ko.wikipedia,84071,ì íë¸,Q866,1538
2017-02-12,Hong Kong,HK,zh.wikipedia,293080,U2B,Q866,452
2017-02-12,Canada,CA,en.wikipedia,3524766,YouTube,Q866,1149
2017-02-12,United States of America,US,es.wikipedia,362760,YouTube,Q866,799
2017-02-12,Indonesia,ID,en.wikipedia,7529378,Facebook,Q355,1228
2017-02-12,Ukraine,UA,ru.wikipedia,275424,YouTube,Q866,2284
2017-02-12,Morocco,MA,ar.wikipedia,232568,ÙÙØ³_Ø¨ÙÙ,Q355,659
2017-02-12,India,IN,en.wikipedia,32058867,WhatsApp,Q1049511,2804
2017-02-12,Poland,PL,pl.wikipedia,553300,YouTube,Q866,948
2017-02-12,Italy,IT,it.wikipedia,3771348,WhatsApp,Q1049511,457
2017-02-12,Spain,ES,es.wikipedia,4578215,Twitter,Q918,478
2017-02-12,France,FR,en.wikipedia,7529378,Facebook,Q355,528
2017-02-12,Spain,ES,es.wikipedia,5125182,Instagram,Q209330,557
2017-02-12,Ukraine,UA,ru.wikipedia,919912,Facebook,Q355,599
2017-02-12,United Kingdom,GB,en.wikipedia,3524766,YouTube,Q866,2259
